,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente
0,Questão 1,C,2828.0,0.23584354932866317,Geral
1,Questão 2,C,6026.0,0.5025435743474272,Geral
2,Questão 3,B,4273.0,0.3563505962805437,Geral
3,Questão 4,B,7608.0,0.6344758568926695,Geral
4,Questão 5,C,7413.0,0.6182136602451839,Geral
5,Questão 6,E,10155.0,0.8468851638729047,Geral
6,Questão 7,A,4181.0,0.34867817529814027,Geral
7,Questão 8,D,5578.0,0.4651822199983321,Geral
8,Questão 9,X,,,Específico
9,Questão 10,X,,,Específico
10,Questão 11,A,2592.0,0.21616212159119338,Específico
11,Questão 12,C,6234.0,0.5198899174380786,Específico
12,Questão 13,E,4719.0,0.39354515886915187,Específico
13,Questão 14,Z,,,Específico
14,Questão 15,A,6001.0,0.5004586773413393,Específico
15,Questão 16,D,8660.0,0.7222083229088483,Específico
16,Questão 17,B,8851.0,0.7381369360353599,Específico
17,Questão 18,B,4538.0,0.37845050454507545,Específico
18,Questão 19,B,5511.0,0.4595946960220165,Específico
19,Questão 20,E,4302.0,0.3587690768076057,Específico
20,Questão 21,B,3626.0,0.3023934617629889,Específico
21,Questão 22,D,5005.0,0.4173963806187974,Específico
22,Questão 23,D,5457.0,0.45509131848886664,Específico
23,Questão 24,B,3296.0,0.27487282128262863,Específico
24,Questão 25,X,,,Específico
25,Questão 26,E,5883.0,0.49061796347260445,Específico
26,Questão 27,A,6089.0,0.5077975148027687,Específico
27,Questão 28,E,4838.0,0.40346926861813026,Específico
28,Questão 29,X,,,Específico
29,Questão 30,C,6553.0,0.5464932032357601,Específico
30,Questão 31,B,5910.0,0.4928696522391794,Específico
31,Questão 32,D,3587.0,0.2991410224334918,Específico
32,Questão 33,C,9957.0,0.8303727795846885,Específico
33,Questão 34,C,5240.0,0.43699441247602366,Específico
34,Questão 35,C,6564.0,0.5474105579184388,Específico
